carat,cut,color,clarity,depth,table,x,y,z,price
0.42,Ideal,G,VVS2,60.6,56,4.86,4.88,2.95,933
0.7,Ideal,F,VS2,61,55,5.74,5.79,3.52,3468
1.22,Ideal,G,VS1,61.3,56,6.93,6.88,4.23,8313
0.38,Ideal,E,VVS2,61.8,53.7,4.67,4.69,2.89,1073
1.58,Ideal,G,SI1,60.7,56,7.56,7.6,4.6,11610
1.56,Ideal,F,SI2,61.6,56,7.41,7.45,4.58,10210
1.63,Premium,I,SI1,61.7,58,7.54,7.51,4.64,9730
1.03,Premium,I,SI1,58.4,60,6.6,6.58,3.85,3288
1.55,Premium,H,SI2,58,60,7.61,7.58,4.41,6458
0.56,Ideal,E,VS2,61.6,57,5.32,5.3,3.27,1747
0.36,Ideal,E,VVS2,61.9,55,4.57,4.61,2.84,998
0.52,Ideal,E,VS2,62.6,57,5.09,5.17,3.21,1689
0.35,Ideal,H,VVS1,62.3,55,4.51,4.55,2.82,798
1.01,Good,D,SI1,64.1,60,6.27,6.3,4.03,4821
0.9,Premium,G,SI1,60.1,59,6.25,6.2,3.74,3326
0.5,Premium,D,VS2,61.1,58,5.12,5.09,3.12,1845
2.02,Ideal,J,SI1,59.8,60,8.21,8.16,4.9,12713
0.71,Very Good,E,VVS2,63.4,58,5.64,5.69,3.59,3340
0.53,Ideal,D,VS1,61.6,56,5.23,5.19,3.21,2340
0.41,Premium,D,VVS2,62.5,58,4.75,4.72,2.96,1356
1.51,Good,J,SI1,64.1,61,7.16,7.19,4.6,6394
2.02,Fair,H,VS2,64.5,57,8,7.95,5.14,18565
1.5,Premium,G,SI1,62.3,58,7.27,7.33,4.55,10428
0.58,Very Good,F,VS2,63,59,5.27,5.39,3.36,1667
1.09,Premium,G,SI2,61.1,59,6.69,6.63,4.07,4794
0.31,Good,H,SI1,63.6,57,4.28,4.31,2.73,435
0.54,Premium,H,VS2,62.6,58,5.19,5.16,3.24,1439
0.31,Premium,H,VS1,62.8,58,4.31,4.29,2.7,698
2.05,Premium,J,VS1,60.1,58,8.19,8.25,4.94,14411
1.26,Very Good,H,VS2,63.8,52,6.89,6.84,4.38,7567
0.82,Premium,F,SI2,59.7,57,6.14,6.12,3.66,2867
0.5,Ideal,G,VVS2,62.8,57,5.07,5.05,3.18,1858
0.45,Good,F,VS1,58.6,62.2,5,5.05,2.95,1144
1.01,Very Good,F,VS1,63.2,58,6.32,6.34,4,7107
0.41,Good,J,VS2,64,59,4.64,4.71,2.99,565
1.01,Premium,I,SI1,58.6,62,6.51,6.45,3.8,4072
0.34,Ideal,H,VVS1,61.8,57,4.46,4.44,2.75,995
0.36,Ideal,D,VS2,61.7,55,4.6,4.58,2.83,1094
1.51,Premium,E,VS2,60.7,60,7.37,7.46,4.5,14709
0.31,Ideal,D,VS2,61.8,56,4.36,4.32,2.68,942
0.9,Good,G,VS1,63.6,58,6.12,6.09,3.88,4460
0.51,Ideal,G,VVS2,61.8,56,5.1,5.16,3.17,1875
1.21,Good,J,SI2,61.1,60.8,6.83,6.89,4.18,4824
2,Premium,G,SI1,59.3,60,8.19,8.13,4.84,14918
0.82,Very Good,I,VS1,63.6,58.9,5.88,5.93,3.76,2583
0.56,Ideal,I,SI1,61.8,54,5.28,5.31,3.27,1212
0.9,Good,J,SI1,63.2,60,6.09,6.12,3.86,2729
1.07,Premium,D,VS2,60.9,59,6.63,6.58,4.02,7954
0.4,Good,I,SI1,63.2,54,4.67,4.69,2.96,596
1.51,Ideal,I,VS2,62.9,53,7.37,7.33,4.62,9471
0.71,Very Good,E,VS2,63.2,57,5.66,5.63,3.56,2437
0.88,Ideal,I,SI1,62.4,55,6.12,6.16,3.83,3264
0.41,Premium,F,VVS2,60.6,58,4.79,4.84,2.92,1115
0.9,Premium,E,VS2,62.2,59,6.18,6.13,3.83,4500
0.55,Ideal,E,VS2,60.3,57,5.3,5.28,3.19,1715
1.01,Premium,G,SI2,62.4,58,6.38,6.41,3.99,4362
0.51,Ideal,G,VS2,62.3,54,5.17,5.12,3.21,1660
0.3,Premium,G,VVS2,61,60,4.3,4.32,2.63,684
0.41,Ideal,F,VVS2,62.1,55,4.77,4.79,2.97,1036
0.32,Premium,H,VS2,60.6,58,4.44,4.47,2.7,505
1.03,Very Good,F,SI1,58,60,6.68,6.74,3.89,5241
0.23,Very Good,E,VVS1,63.5,54,3.92,3.95,2.5,530
1.06,Ideal,G,VVS2,60.1,57,6.61,6.66,3.99,8626
1.1,Ideal,H,SI1,60.2,56,6.74,6.82,4.08,4827
1.1,Ideal,G,VS2,62.5,54,6.59,6.62,4.12,7074
0.7,Very Good,G,SI2,63.3,57,5.61,5.51,3.52,1814
1.25,Premium,J,SI2,62.3,59,6.82,6.86,4.26,4331
0.56,Premium,E,VS2,61.1,59,5.34,5.27,3.24,1668
0.78,Ideal,E,VS2,61.7,55,5.92,6,3.68,3601
0.3,Very Good,D,VVS2,63.2,55,4.27,4.3,2.71,754
0.31,Ideal,G,VS2,61.1,57,4.37,4.4,2.68,562
1.15,Premium,G,SI1,62.6,58,6.71,6.65,4.18,5851
0.4,Ideal,G,VVS2,61.9,55,4.72,4.75,2.93,931
1.07,Ideal,I,SI1,61.5,57,6.57,6.59,4.05,5748
1.63,Ideal,F,I1,62,55.1,7.5,7.57,4.68,7100
1.31,Premium,D,VVS1,62.8,55,7.01,6.95,4.38,17496
0.5,Fair,F,VS2,64.6,58,5.01,4.99,3.23,1323
0.71,Ideal,G,SI1,62.1,56,5.69,5.74,3.55,2650
