일시,광진구,동대문구,성동구,중랑구
20220101,3.466,2.92,2.862,2.079
20220102,3.389,2.776,2.726,1.904
20220103,4.488,3.643,3.799,2.552
20220104,4.544,3.833,3.762,2.726
20220105,4.457,3.803,3.655,2.728
20220106,4.576,3.798,3.828,2.76
20220107,4.498,3.574,3.709,2.56
20220108,3.55,2.995,2.936,2.149
20220109,4.15,3.344,3.231,2.474
20220110,4.576,3.815,3.803,2.717
20220111,3.958,3.447,3.229,2.345
20220112,4.078,3.427,3.219,2.332
20220113,4.003,3.402,3.186,2.361
20220114,4.394,3.455,3.661,2.445
20220115,3.497,2.902,2.923,2.081
20220116,4.174,3.382,3.273,2.456
20220117,3.697,3.287,3.096,2.264
20220118,4.18,3.454,3.305,2.353
20220119,3.976,3.411,3.259,2.373
20220120,4.33,3.433,3.682,2.42
20220121,4.527,3.797,3.829,2.785
20220122,4.55,3.733,3.762,2.792
20220123,4.68,3.754,3.793,2.775
20220124,6.313,5.642,5.475,3.979
20220125,3.768,3.286,3.116,2.304
20220126,6.516,5.533,5.619,3.945
20220127,5.657,4.826,4.513,3.366
20220128,4.607,3.799,3.937,2.788
20220129,3.789,3.283,3.206,2.405
20220130,3.625,3.015,3.049,2.136
20220131,5.306,4.228,4.302,2.841
20220201,4.274,3.536,3.65,2.409
20220202,4.585,3.821,3.96,2.757
20220203,4.68,3.816,3.949,2.77
20220204,4.383,3.422,3.806,2.408
20220205,3.467,2.756,2.865,1.965
20220206,3.578,2.957,2.992,2.067
20220207,4.507,3.663,3.766,2.633
20220208,5.922,4.86,4.808,3.342
20220209,6.284,5.212,5.255,3.73
20220210,6.357,5.525,5.384,3.863
20220211,6.377,5.495,5.435,3.886
20220212,6.504,5.323,5.512,3.993
20220213,5.389,4.281,4.348,3.265
20220214,5.988,4.834,4.881,3.366
20220215,4.27,3.493,3.635,2.408
20220216,3.9,3.289,3.278,2.282
20220217,4.605,3.592,3.965,2.529
20220218,5.771,4.718,4.646,3.377
20220219,4.381,3.399,3.659,2.535
20220220,4.461,3.346,3.805,2.483
20220221,5.318,4.237,4.327,2.903
20220222,5.141,4.237,4.248,2.84
20220223,4.759,4.021,3.988,2.79
20220224,5.78,4.814,4.611,3.403
20220225,6.211,4.94,5.244,3.571
20220226,5.727,4.603,4.617,3.468
20220227,5.902,4.542,4.797,3.509
20220228,7.182,6.122,5.91,4.417
20220301,6.95,5.689,5.715,4.031
20220302,7.035,5.628,5.851,4.082
20220303,8.025,6.658,6.897,4.916
20220304,7.623,6.335,6.605,4.558
20220305,5.851,4.581,4.79,3.487
20220306,5.829,4.503,4.676,3.487
20220307,6.287,5.557,5.505,3.791
20220308,7.659,6.456,6.581,4.588
20220309,8.501,7.073,7.412,5.246
20220310,9.374,7.365,8.001,5.459
20220311,9.913,8.043,8.434,5.846
20220312,10.219,7.84,8.843,6.023
20220313,2.333,2.072,1.935,1.473
20220314,3.739,3.398,3.157,2.318
20220315,8.235,6.938,7.13,5.003
20220316,9.281,7.459,8.028,5.558
20220317,9.235,7.405,7.73,5.53
20220318,7.905,6.423,6.404,4.439
20220319,5.394,4.082,4.385,2.943
20220320,7.282,5.808,6.305,4.339
20220321,7.427,6.147,6.324,4.433
20220322,8.545,7.065,7.259,5.234
20220323,7.623,6.424,6.361,4.445
20220324,8.152,6.745,6.892,4.762
20220325,9.55,7.525,8.107,5.654
20220326,8.884,6.522,7.451,5.041
20220327,8.323,6.25,7.063,4.762
20220328,8.694,6.929,7.443,5.068
20220329,9.398,7.423,8.131,5.669
20220330,8.938,7.181,7.447,5.222
20220331,9.333,7.836,8.137,5.689
20220401,9.738,7.523,8.126,5.708
20220402,9.071,6.746,7.736,5.382
20220403,9.206,6.733,7.798,5.235
20220404,9.357,7.5,8.151,5.669
20220405,9.554,7.545,8.316,5.721
20220406,10.593,8.687,9.095,6.23
20220407,10.359,8.175,8.714,6.033
20220408,11.125,9.095,9.368,6.281
20220409,11.505,8.904,9.634,6.432
20220410,11.491,8.563,9.842,6.343
20220411,11.377,9.218,9.552,6.447
20220412,11.033,9.112,9.489,6.289
20220413,6.984,5.66,5.655,3.888
20220414,10.027,8.04,8.415,5.865
20220415,11.303,9.167,9.429,6.339
20220416,11.368,8.844,9.628,6.338
20220417,11.077,8.218,9.601,6.231
20220418,11.135,9.148,9.457,6.335
20220419,11.25,9.223,9.442,6.328
20220420,11.372,9.214,9.564,6.361
20220421,11.421,9.21,9.545,6.409
20220422,5.817,4.718,4.612,3.454
20220423,11.853,8.876,9.888,6.514
20220424,11.395,8.441,9.876,6.424
20220425,10.258,8.101,8.434,5.991
20220426,11.369,9.336,9.599,6.599
20220427,11.215,9.031,9.509,6.33
20220428,11.749,9.328,9.698,6.61
20220429,10.464,8.559,9.021,6.252
20220430,10.29,7.824,8.962,6.129
20220501,10.926,8.179,9.409,6.279
20220502,11.087,9.126,9.428,6.379
20220503,11.142,9.151,9.47,6.32
20220504,11.405,9.239,9.561,6.386
20220505,11.286,9.232,9.438,6.37
