지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),합계 일사량(MJ/m2),평균 전운량(1/10)
108,서울,2018-01-01,-1.3,,3.8,6.14,1
108,서울,2018-01-02,-1.8,,4.9,5.36,2.3
108,서울,2018-01-03,-4.7,,3.5,6.56,3.6
108,서울,2018-01-04,-4.7,,3.5,4.73,6.5
108,서울,2018-01-05,-3,,3.6,5.96,3.6
108,서울,2018-01-06,-2.8,,3.1,6.79,0
108,서울,2018-01-07,-.8,,2.5,3.75,7.5
108,서울,2018-01-08,1.3,.9,7.1,2.39,9
108,서울,2018-01-09,-4.2,.5,6.1,5.6,3.5
108,서울,2018-01-10,-7.5,.3,6.1,6.85,.9
108,서울,2018-01-11,-11.1,,4.9,6.8,.4
108,서울,2018-01-12,-10.2,0,3.6,7.11,2.3
108,서울,2018-01-13,-4.4,.4,1.7,2.8,8.3
108,서울,2018-01-14,.6,,2.8,4.55,7
108,서울,2018-01-15,4.7,.2,3.3,4.67,7.6
108,서울,2018-01-16,3.5,0,2.2,2.4,9.8
108,서울,2018-01-17,4.5,,3.7,4.17,7.4
108,서울,2018-01-18,2.1,0,3.8,,8.6
108,서울,2018-01-19,1,,3.7,6.56,3.8
108,서울,2018-01-20,2.2,,3.6,4.51,5.1
108,서울,2018-01-21,.4,,3.2,5.88,2
108,서울,2018-01-22,.2,3.3,5.1,1.91,9.4
108,서울,2018-01-23,-11.7,,5.4,7.62,.3
108,서울,2018-01-24,-14.2,,7.2,7.73,0
108,서울,2018-01-25,-14,,4.8,7.28,3.6
108,서울,2018-01-26,-14.8,,4.6,,0
108,서울,2018-01-27,-9.9,,3.4,7.5,1.8
108,서울,2018-01-28,-6.3,,5.6,6.38,3.3
108,서울,2018-01-29,-8.5,,6.2,7.68,.1
108,서울,2018-01-30,-5.3,2.9,3.8,5.41,5.8
108,서울,2018-01-31,-2.6,0,3.4,3.9,7.4
108,서울,2018-02-01,-4,,3.9,8.09,0
108,서울,2018-02-02,-2.4,,3.6,7.29,1.9
108,서울,2018-02-03,-7.3,.5,5.7,13.65,1.3
108,서울,2018-02-04,-9.5,,5.6,13.65,0
108,서울,2018-02-05,-9.4,,5.6,14.31,.1
108,서울,2018-02-06,-10.1,,4.9,14.13,1.1
108,서울,2018-02-07,-8,,3.3,13.39,1
108,서울,2018-02-08,-4.4,,3,13.05,.3
108,서울,2018-02-09,.4,,3,6.56,9.1
108,서울,2018-02-10,-.5,,6.3,9.41,6.5
108,서울,2018-02-11,-6.1,0,5.1,12.26,3.5
108,서울,2018-02-12,-5.8,0,5.2,13.74,4.1
108,서울,2018-02-13,-.8,,5.6,13.72,3.1
108,서울,2018-02-14,3.5,,5.4,6.92,7.4
108,서울,2018-02-15,-.7,,4.4,,3.8
108,서울,2018-02-16,-1.1,,5.5,14.1,3.3
108,서울,2018-02-17,-3,,5.5,15.8,1.9
108,서울,2018-02-18,-.4,,3.5,11.22,7.4
108,서울,2018-02-19,1.8,,3,10.08,6.1
108,서울,2018-02-20,.9,,5.8,13.56,5
108,서울,2018-02-21,-.9,,5.2,15.28,1.6
108,서울,2018-02-22,1.3,.4,5.2,9.45,5.8
108,서울,2018-02-23,4.2,3.7,5,9.43,7
108,서울,2018-02-24,2.4,,3.9,13.09,6.1
108,서울,2018-02-25,1.9,,3.8,16.17,2.4
108,서울,2018-02-26,3.1,,3.6,16.36,1.3
108,서울,2018-02-27,4.2,,1.8,2.86,8.5
108,서울,2018-02-28,4.6,25,3.7,1.71,10
108,서울,2018-03-01,-.2,.5,6.9,17.94,4.4
108,서울,2018-03-02,-.7,,3.3,19.03,2.4
108,서울,2018-03-03,7.9,0,3.9,18.04,4.1
108,서울,2018-03-04,9.8,11.5,3.5,3.92,10
108,서울,2018-03-05,5.5,3.5,3.5,13.8,5.4
108,서울,2018-03-06,4.5,,3.7,17.85,2.1
108,서울,2018-03-07,6.4,.5,3.2,10.76,8.6
108,서울,2018-03-08,4.6,4,4.5,10.3,8.1
108,서울,2018-03-09,4.5,,4.2,10.22,5.9
108,서울,2018-03-10,4.6,,5.9,16.45,4.6
108,서울,2018-03-11,6.4,,4.2,18.11,2.8
108,서울,2018-03-12,8,,4.2,13.92,3.3
108,서울,2018-03-13,12.4,,4.3,14.17,5.9
108,서울,2018-03-14,17,,5,15.46,6
108,서울,2018-03-15,12.4,27,4.8,1.47,9.8
108,서울,2018-03-16,7.1,,3.1,21.16,1.4
108,서울,2018-03-17,6.6,,3.8,17.87,4.4
108,서울,2018-03-18,8.2,.5,2.9,7.19,9.8
108,서울,2018-03-19,8,1,4.2,3.33,9.5
108,서울,2018-03-20,4.7,,4.8,14.36,6.9
108,서울,2018-03-21,2.1,1,3.3,6.13,9.9
108,서울,2018-03-22,4.9,,5,20.45,1.5
108,서울,2018-03-23,6.1,,4.2,19.08,4.6
108,서울,2018-03-24,7.6,,4.4,15.35,6.3
108,서울,2018-03-25,9.6,,3.5,19.12,3.4
108,서울,2018-03-26,11,,4.4,19.06,3.6
108,서울,2018-03-27,13.3,,3.9,15.98,2.6
108,서울,2018-03-28,14,,4.8,13.94,4.3
108,서울,2018-03-29,15.4,,4,14.86,4.9
108,서울,2018-03-30,14.8,,3.8,20.01,.5
108,서울,2018-03-31,14,,4.5,17.08,4.4
108,서울,2018-04-01,15.6,,3.5,7.25,9.1
108,서울,2018-04-02,18.4,,4.5,14.14,6.1
108,서울,2018-04-03,17.8,.1,4.4,6.88,9.1
108,서울,2018-04-04,13.4,18.5,5.1,19.56,6.1
108,서울,2018-04-05,7.6,10.5,3.5,2.15,9.9
108,서울,2018-04-06,5.8,6.5,5.7,11.19,8.9
108,서울,2018-04-07,4.2,.2,6,18.24,5.1
108,서울,2018-04-08,3.9,3,3.6,7.93,6.1
108,서울,2018-04-09,7.9,,2.9,21.52,2.6
108,서울,2018-04-10,15.1,5,8.8,17.52,6.3
108,서울,2018-04-11,12.6,,6.1,24.86,2.6
108,서울,2018-04-12,13.3,,6.2,24.56,1.3
108,서울,2018-04-13,14.6,,3.7,12.68,8.9
108,서울,2018-04-14,9,9,4.1,3.49,8.9
108,서울,2018-04-15,9.5,,4.9,17.29,3.1
108,서울,2018-04-16,11.6,,4.7,24.79,1
108,서울,2018-04-17,12.9,,5.5,24.03,.9
108,서울,2018-04-18,12.4,,3.9,25.09,.4
108,서울,2018-04-19,14,,5.1,22.36,0
108,서울,2018-04-20,18.4,,3.6,22.68,.5
108,서울,2018-04-21,18.7,,4.6,26.14,3.4
108,서울,2018-04-22,15.5,15.5,2.9,5.09,9.5
108,서울,2018-04-23,9.3,59,3,2.59,10
108,서울,2018-04-24,12.1,3,2.8,10.14,8
108,서울,2018-04-25,14.6,,4.4,24.97,.8
108,서울,2018-04-26,14.9,,5.1,21.87,3.9
108,서울,2018-04-27,15.7,,3.8,22.9,.1
108,서울,2018-04-28,15.4,,4.8,26.04,0
108,서울,2018-04-29,16.2,,4.3,24.5,2.4
108,서울,2018-04-30,19.2,,3.6,20.74,5.5
108,서울,2018-05-01,20.4,0,4,12.42,8.5
108,서울,2018-05-02,15.1,12,5.2,2.47,9.9
108,서울,2018-05-03,11.2,1,5.3,12.18,3.6
108,서울,2018-05-04,14.1,,5.9,27.26,1.4
108,서울,2018-05-05,18.3,,4.8,22.26,6
108,서울,2018-05-06,16.6,22,3.9,9.31,9.3
108,서울,2018-05-07,19.2,,3.7,17.7,6
108,서울,2018-05-08,17.5,,2.7,23.25,3
108,서울,2018-05-09,15.7,,3.6,26.77,.1
108,서울,2018-05-10,15.4,,5.4,26.53,3.1
108,서울,2018-05-11,16.1,,3.5,18.7,9.5
108,서울,2018-05-12,14.2,32,2.9,1.32,10
108,서울,2018-05-13,15.8,.5,3.9,16.37,5.3
108,서울,2018-05-14,18.2,,3.4,19.19,6.6
108,서울,2018-05-15,23.2,0,3.4,21.18,8.5
108,서울,2018-05-16,22.3,45,6.1,1.6,10
108,서울,2018-05-17,20.9,83,8,3.96,10
108,서울,2018-05-18,16.3,6.5,2.7,5.64,8.3
108,서울,2018-05-19,17.6,,2.9,29.13,0
