일시,평균기온(°C),일강수량(mm),평균 상대습도(%),가조시간(hr),합계 일조시간(hr),합계 일사량(MJ/m2),평균 지면온도(°C)
20220101,-2.6,-0.0,46.4,9.6,8.0,8.7,-2.9
20220102,-1.8,0.0,47.3,9.8,8.0,9.0,-2.0
20220103,-1.6,0.0,47.5,9.9,8.0,9.0,-1.9
20220104,-1.1,0.0,47.9,9.9,8.0,9.2,-1.3
20220105,-0.6,0.0,48.3,10.0,8.0,9.3,-0.8
20220106,-0.3,0.0,48.7,10.1,8.0,9.5,-0.4
20220107,0.1,0.0,49.0,10.2,8.0,9.6,0.0
20220108,0.5,0.0,49.3,10.2,8.0,9.7,0.4
20220109,0.8,0.0,49.6,10.3,8.0,9.8,0.7
20220110,1.1,0.0,49.9,10.3,8.0,9.9,1.1
20220111,1.4,0.0,50.1,10.3,8.0,9.9,1.4
20220112,1.7,0.0,50.3,10.4,8.0,10.0,1.7
20220113,1.9,0.0,50.5,10.4,7.9,10.1,1.9
20220114,2.2,0.0,50.7,10.4,7.9,10.1,2.2
20220115,2.3,0.0,50.9,10.5,7.9,10.2,2.4
20220116,2.5,0.0,51.0,10.5,7.9,10.2,2.5
20220117,2.7,0.0,51.1,10.5,7.9,10.3,2.7
20220118,2.8,0.0,51.2,10.5,7.9,10.3,2.8
20220119,2.9,0.0,51.3,10.5,7.9,10.3,3.0
20220120,3.1,0.0,51.5,10.6,7.9,10.4,3.1
20220121,3.2,0.0,51.6,10.6,7.9,10.4,3.3
20220122,3.4,0.0,51.7,10.6,7.9,10.5,3.5
20220123,3.6,0.0,51.9,10.6,7.9,10.5,3.6
20220124,3.8,0.0,52.0,10.6,7.9,10.6,3.9
20220125,4.0,0.0,52.2,10.7,7.9,10.7,4.1
20220126,4.2,0.0,52.5,10.7,7.9,10.7,4.4
20220127,4.5,0.0,52.7,10.8,7.8,10.8,4.7
20220128,4.9,0.0,53.0,10.8,7.8,10.9,5.0
20220129,5.2,0.0,53.3,10.8,7.8,11.0,5.4
20220130,5.5,0.0,53.6,10.9,7.8,11.1,5.7
20220131,5.8,-0.0,53.8,10.9,7.8,11.2,6.1
20220201,6.2,-0.0,54.1,11.0,7.8,11.3,6.4
20220202,6.5,-0.0,54.4,11.0,7.8,11.4,6.8
20220203,6.9,-0.0,54.7,11.1,7.7,11.5,7.2
20220204,7.2,-0.0,55.0,11.1,7.7,11.6,7.5
20220205,7.6,-0.0,55.2,11.2,7.7,11.7,7.9
20220206,7.9,-0.0,55.5,11.2,7.7,11.8,8.3
20220207,8.2,-0.0,55.7,11.2,7.7,11.9,8.6
20220208,8.5,-0.0,56.0,11.3,7.7,12.0,9.0
20220209,8.9,-0.0,56.2,11.3,7.6,12.0,9.3
20220210,9.3,0.0,56.5,11.4,7.6,12.2,9.7
20220211,9.7,0.0,56.8,11.4,7.6,12.3,10.2
20220212,10.2,0.0,57.2,11.4,7.5,12.4,10.7
20220213,10.7,0.0,57.5,11.5,7.5,12.5,11.3
20220214,11.2,0.0,57.9,11.5,7.5,12.7,11.9
20220215,11.7,0.0,58.1,11.6,7.4,12.8,12.4
20220216,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220217,12.3,0.0,58.3,11.6,7.3,12.9,13.0
20220218,11.9,0.0,57.9,11.5,7.3,12.8,12.5
20220219,10.7,0.0,57.0,11.4,7.4,12.4,11.3
20220220,9.1,-0.0,55.7,11.2,7.5,12.0,9.6
20220221,8.8,-0.0,55.7,11.2,7.6,11.9,9.3
20220222,9.2,-0.0,56.3,11.3,7.6,12.1,9.6
20220223,9.5,0.0,56.7,11.4,7.6,12.2,10.0
20220224,10.0,0.0,57.0,11.4,7.6,12.3,10.5
20220225,10.5,0.0,57.4,11.5,7.5,12.5,11.0
20220226,11.0,0.0,57.7,11.5,7.5,12.6,11.6
20220227,11.4,0.0,58.0,11.6,7.4,12.7,12.1
20220228,11.9,0.0,58.2,11.6,7.4,12.8,12.5
20220301,12.2,0.0,58.3,11.6,7.4,12.9,12.9
20220302,12.2,0.0,58.2,11.6,7.3,12.9,12.9
20220303,11.6,0.0,57.7,11.5,7.4,12.7,12.3
20220304,10.4,-0.0,56.7,11.3,7.4,12.3,10.9
20220305,9.1,-0.0,55.7,11.2,7.5,12.0,9.5
20220306,9.1,-0.0,56.0,11.2,7.5,12.0,9.6
20220307,9.5,-0.0,56.6,11.4,7.6,12.2,10.0
20220308,10.0,0.0,57.0,11.4,7.6,12.3,10.5
20220309,10.5,0.0,57.4,11.5,7.5,12.5,11.0
20220310,11.0,0.0,57.7,11.5,7.5,12.6,11.6
20220311,11.5,0.0,58.0,11.6,7.4,12.7,12.1
20220312,12.0,0.0,58.2,11.6,7.4,12.8,12.6
20220313,12.2,0.0,58.3,11.6,7.3,12.9,12.9
20220314,12.1,0.0,58.1,11.6,7.3,12.8,12.8
20220315,11.4,0.0,57.5,11.5,7.4,12.6,12.0
20220316,9.9,-0.0,56.3,11.3,7.5,12.2,10.4
20220317,8.8,-0.0,55.5,11.2,7.5,11.9,9.2
20220318,9.1,-0.0,56.1,11.3,7.6,12.1,9.6
20220319,9.4,-0.0,56.6,11.4,7.6,12.2,9.9
20220320,9.8,0.0,56.9,11.4,7.6,12.3,10.4
20220321,10.3,0.0,57.3,11.5,7.5,12.4,10.9
