일시,광진구,동대문구,성동구,중랑구
20220101,3.588395,2.5872521,2.9175298,1.7380879
20220102,3.2147436,2.3261228,2.5803616,1.6255243
20220103,4.1620817,3.3654425,3.4109662,2.3624823
20220104,4.1620817,3.3654425,3.4482698,2.3624823
20220105,4.4881825,3.7070506,3.8453724,2.730748
20220106,4.482927,3.549837,3.8826761,2.4783635
20220107,4.482927,3.549837,3.8826761,2.4783635
20220108,3.588395,2.625925,2.8802261,1.8537095
20220109,3.9717593,3.189867,3.3432102,2.2780476
20220110,4.1620817,3.3654425,3.3909156,2.3624823
20220111,3.9070392,2.9498448,3.380514,2.014643
20220112,3.951121,3.0940857,3.380514,2.2780476
20220113,3.951121,3.1431572,3.380514,2.2780476
20220114,4.4771857,3.549837,3.9216063,2.4783635
20220115,3.588395,2.6897988,2.9547503,1.8537095
20220116,4.1620817,3.3654425,3.4482698,2.3624823
20220117,3.9070392,2.8992944,3.3432102,2.014643
20220118,3.8204572,2.830734,3.3665628,1.9214113
20220119,3.9717593,3.2818403,3.3654652,2.3080196
20220120,3.951121,3.0779667,3.5212407,2.2780476
20220121,4.1620817,3.3654425,3.6055608,2.3624823
20220122,4.4881825,3.7070506,3.8453724,2.730748
20220123,4.4881825,3.7070506,3.8453724,2.730748
20220124,6.1811604,5.4317703,5.06917,3.815812
20220125,3.951121,3.0940857,3.3432102,2.2780476
20220126,6.1811604,5.4317703,5.1886234,3.815812
20220127,5.603847,4.6970963,4.7807426,3.2769527
20220128,4.1620817,3.3654425,3.6055608,2.3624823
20220129,3.90437,2.8992944,3.5212407,2.014643
20220130,3.588395,2.4883168,3.0582566,1.6915185
20220131,4.482927,3.4536223,3.8826761,2.4054985
20220201,3.951121,3.189867,3.3432102,2.2780476
20220202,4.209454,3.3654425,3.5889966,2.3624823
20220203,4.209454,3.3654425,3.5889966,2.3624823
20220204,3.951121,3.0779667,3.5212407,2.1448202
20220205,3.588395,2.4883168,3.0582566,1.6915185
20220206,3.6357675,2.4883168,3.215251,1.6915185
20220207,3.9922523,3.3654425,3.4282193,2.3624823
20220208,5.6512194,4.6593833,4.8451657,3.308311
20220209,5.9849143,4.6970963,5.022873,3.308311
20220210,6.131493,5.0381384,5.14799,3.6113634
20220211,6.1811604,5.45929,5.3293495,3.9661174
20220212,7.0076447,5.612747,6.0299435,4.107414
20220213,5.6891565,4.618587,4.6671357,3.2769527
20220214,6.100758,5.4317703,5.06917,3.815812
20220215,3.9717593,3.189867,3.380514,2.2780476
20220216,4.1095924,2.884722,3.5212407,2.014643
20220217,4.9450297,3.882759,4.524755,2.730748
20220218,6.2564173,4.6970963,5.2216606,3.308311
20220219,4.64955,3.7070506,4.0380435,2.730748
20220220,4.688148,3.4536223,4.180129,2.4054985
20220221,5.6891565,4.6392884,4.7044396,3.2769527
20220222,5.4266067,4.18364,4.6744,2.8550797
20220223,4.9450297,3.882759,4.524755,2.730748
20220224,5.87535,4.6970963,5.022873,3.308311
20220225,6.186074,5.4317703,5.2472,3.815812
20220226,5.656308,4.209661,4.6671357,3.0477798
20220227,5.87535,4.638682,4.8451657,3.308311
20220228,7.1710978,5.98275,6.0372686,4.461104
20220301,6.9602723,5.6334486,5.7104473,4.0375037
20220302,6.4526634,5.4317703,5.528137,3.815812
20220303,7.8766956,6.371566,7.0817766,4.718977
20220304,7.4715524,6.2120366,6.440357,4.461104
20220305,5.87535,4.676395,5.022873,3.308311
20220306,5.87535,4.638682,4.8451657,3.308311
20220307,6.1481304,5.4317703,5.2472,3.815812
20220308,7.7430553,6.2120366,6.7574635,4.461104
20220309,8.315725,7.069284,7.6108265,5.2948065
20220310,8.891028,7.069284,7.9482536,5.2948065
20220311,9.148754,7.2805786,7.9482536,5.6692247
20220312,9.94656,8.018275,8.424398,5.874399
20220313,2.0770311,1.6924132,1.7682639,1.207992
20220314,3.90437,2.8992944,3.3432102,2.014643
20220315,8.315725,6.957356,7.5128903,5.226973
20220316,9.137804,7.2805786,7.9482536,5.452666
20220317,8.913674,7.2805786,7.7702236,5.452666
20220318,7.5167513,5.98275,6.5794334,4.461104
20220319,5.2213855,4.1629386,4.49637,2.8550797
20220320,7.7430553,6.2618213,6.7574635,4.5394993
20220321,7.4426003,5.98275,6.5810833,4.461104
20220322,8.315725,6.957356,7.5128903,5.2948065
20220323,7.4715524,6.2120366,6.4030533,4.461104
20220324,8.43725,6.8563213,7.3344774,5.0441794
20220325,9.314147,7.813527,8.185103,5.828542
20220326,8.682622,6.5402927,7.4372425,4.9755416
20220327,8.487811,6.5402927,7.5125074,4.898241
20220328,8.222347,6.2825227,7.154106,4.718977
20220329,9.126109,6.957356,7.8503165,5.2948065
20220330,8.666899,6.957356,7.7702236,5.2948065
20220331,9.148754,7.2805786,7.9482536,5.452666
20220401,9.372884,7.2805786,8.238143,5.49392
20220402,8.89646,6.8941574,7.6725397,5.118091
20220403,9.126109,6.83562,7.6152725,5.0441794
20220404,9.372884,7.2805786,8.238143,5.49392
20220405,9.372884,7.2805786,8.238143,5.49392
20220406,10.412471,8.366191,8.897567,6.0750766
20220407,9.454931,7.2805786,8.238143,5.710479
20220408,10.793719,8.366191,8.99052,6.169238
20220409,10.507546,8.068137,8.897567,6.0750766
