대여일시,대여건수
2019-06-01,79878
2019-06-02,77091
2019-06-03,82911
2019-06-04,83576
2019-06-05,81515
2019-06-06,36945
2019-06-07,54701
2019-06-08,83736
2019-06-09,60371
2019-06-10,63032
2019-06-11,85776
2019-06-12,83506
2019-06-13,81540
2019-06-14,85533
2019-06-15,71883
2019-06-16,81803
2019-06-17,86987
2019-06-18,42393
2019-06-19,79958
2019-06-20,88226
2019-06-21,81089
2019-06-22,85728
2019-06-23,79269
2019-06-24,88432
2019-06-25,88096
2019-06-26,81274
2019-06-27,79234
2019-06-28,77056
2019-06-29,67346
2019-06-30,74994
2019-07-01,92814
2019-07-02,94783
2019-07-03,94773
2019-07-04,90397
2019-07-05,83994
2019-07-06,70246
2019-07-07,75116
2019-07-08,93609
2019-07-09,95859
2019-07-10,43842
2019-07-11,65003
2019-07-12,94473
2019-07-13,81067
2019-07-14,74259
2019-07-15,57917
2019-07-16,82285
2019-07-17,84261
2019-07-18,81613
2019-07-19,77449
2019-07-20,56648
2019-07-21,46130
2019-07-22,82781
2019-07-23,83206
2019-07-24,59020
2019-07-25,34778
2019-07-26,22789
2019-07-27,50955
2019-07-28,23342
2019-07-29,74046
2019-07-30,69757
2019-07-31,26874
2019-08-01,59803
2019-08-02,67510
2019-08-03,49047
2019-08-04,46477
2019-08-05,65085
2019-08-06,66703
2019-08-07,50804
2019-08-08,69748
2019-08-09,67491
2019-08-10,54162
2019-08-11,43351
2019-08-12,24386
2019-08-13,63749
2019-08-14,65452
2019-08-15,32229
2019-08-16,71161
2019-08-17,72259
2019-08-18,72588
2019-08-19,81832
2019-08-20,82116
2019-08-21,56957
2019-08-22,82232
2019-08-23,86624
2019-08-24,85630
2019-08-25,81028
2019-08-26,87770
2019-08-27,83107
2019-08-28,88718
2019-08-29,65708
2019-08-30,86733
2019-08-31,90724
2019-09-01,89191
2019-09-02,92510
2019-09-03,74801
2019-09-04,27168
2019-09-05,33929
2019-09-06,16631
2019-09-08,52055
2019-09-09,68370
2019-09-10,18265
2019-09-11,75328
2019-09-12,32059
2019-09-13,57065
2019-09-14,48756
2019-09-15,82678
2019-09-16,89807
2019-09-17,92153
2019-09-18,92045
2019-09-19,91554
2019-09-20,94246
2019-09-21,86676
2019-09-22,41173
2019-09-23,92006
2019-09-24,93546
2019-09-25,92665
2019-09-26,92247
2019-09-27,93345
2019-09-28,89550
2019-09-29,86133
2019-09-30,88270
2019-10-01,88575
2019-10-02,27368
2019-10-03,75438
2019-10-04,94912
2019-10-05,83020
2019-10-06,82855
2019-10-07,21875
2019-10-08,81524
2019-10-09,85638
2019-10-10,81742
2019-10-11,92155
2019-10-12,84843
2019-10-13,84368
2019-10-14,79509
2019-10-15,85516
2019-10-16,84549
2019-10-17,85596
2019-10-18,89551
2019-10-19,87553
2019-10-20,79300
2019-10-21,84488
2019-10-22,88478
2019-10-23,87991
2019-10-24,89520
2019-10-25,84617
2019-10-26,67578
2019-10-27,65774
2019-10-28,67175
2019-10-29,71135
2019-10-30,76898
2019-10-31,76860
2019-11-01,77604
2019-11-02,68223
2019-11-03,67452
2019-11-04,78874
2019-11-05,78675
2019-11-06,74812
2019-11-07,68315
2019-11-08,65110
2019-11-09,60693
2019-11-10,40503
2019-11-11,58957
2019-11-12,68210
2019-11-13,39198
2019-11-14,45095
2019-11-15,15069
2019-11-16,45493
2019-11-17,11303
2019-11-18,37496
2019-11-19,40356
2019-11-20,42026
2019-11-21,47091
2019-11-22,56700
2019-11-23,54283
2019-11-24,24304
2019-11-25,42677
2019-11-26,52464
2019-11-27,46248
2019-11-28,46983
2019-11-29,44689
2019-11-30,38366
